display_name,evidence,flags,method_id,original_names,outcome,semantic_activity_role,source_type,workflow_id
Electrical TLM characterization of a GDL with defined compression,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],BOSCH-Exp-electrical-tlm-characterization-gdl-defined-compression,"[""Electrical TLM characterization of a GDL with defined compression""]",matched_graphml_workflow,Measurement,Experiment,electrical-tlm-characterization-of-a-gdl-with-defined-compression
Gas permeability of a GDL with defined compression,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],BOSCH-Exp-gas-permeability-gdl-defined-compression,"[""Gas permeability of a GDL with defined compression""]",matched_graphml_workflow,Measurement,Experiment,gas-permeability-of-a-gdl-with-defined-compression
GDL compressability,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],BOSCH-Exp-gdl-compressability,"[""GDL compressability""]",matched_graphml_workflow,Measurement,Experiment,gdl-compressability
MPL parameter estimation from GDL and substrate data,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],BOSCH-Mod-mpl-parameter-estimation-gdl-substrate,"[""MPL parameter estimation from GDL and substrate data""]",matched_graphml_workflow,Process,Model,mpl-parameter-estimation-from-gdl-and-substrate-data
Blade coating and Decal transfer for ref PEFC CCM,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],CEA-Exp-blade-coating-decal-transfer-ref-pefc-ccm,"[""Blade coating and Decal transfer for ref PEFC CCM""]",matched_graphml_workflow,Manufacturing,Manufacturing,blade-coating-and-decal-transfer-for-ref-pefc-ccm
Differential Cell Testing,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],CEA-Exp-differential-cell-testing,"[""Differential Cell Testing""]",matched_graphml_workflow,Measurement,Experiment,differential-cell-testing
"Electron tomography for Pt, C and ionomer distribution in CL",Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],CEA-Exp-electron-tomography-pt-c-ionomer-cl,"[""Electron tomography for Pt, C and ionomer distribution in CL""]",matched_graphml_workflow,Measurement,Experiment,electron-tomography-for-pt-c-and-ionomer-distribution-in-cl
High resolution electron tomography for accessing Pt and ionomer distribution on carbon aggregate,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],CEA-Exp-electron-tomography-pt-ionomer-distribution-carbon-aggregate,"[""High resolution electron tomography for accessing Pt and ionomer distribution on carbon aggregate""]",matched_graphml_workflow,Measurement,Experiment,high-resolution-electron-tomography-for-accessing-pt-and-ionomer-distribution-on-carbon-aggregate
FIB-SEM on CL material,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],CEA-Exp-fib-sem-cl,"[""FIB-SEM on CL material""]",matched_graphml_workflow,Measurement,Experiment,fib-sem-on-cl-material
Impregnation by immersion and blade coating,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],CEA-Exp-impregnation-immersion-blade-coating,"[""Impregnation by immersion and blade coating""]",matched_graphml_workflow,Manufacturing,Manufacturing,impregnation-by-immersion-and-blade-coating
